dTLB-load-misses,dTLB-store-misses,minor-faults,Testlaenge
3974,4197,867,3452928
7313,8236,1688,6811648
18472,20811,4293,17481728
29857,34976,7139,29138944
56255,67328,13696,55992320
82732,98547,20099,82223104
110295,131705,26818,109744128
137135,164224,33395,136687616
164387,197512,40271,164847616
189315,230222,46663,191033344
218372,263304,53453,218845184
246781,297616,60435,247443456
273192,327526,66628,272805888
304649,362525,73740,301936640
325544,395417,80193,328368128
356791,427638,86915,355897344
379821,460388,93347,382242816
404551,492896,99930,409210880
435838,526350,106884,437694464
459903,557649,113271,463855616
484347,590771,119838,490754048
517141,620124,126603,518459392
543486,656714,133332,546025472
572154,689791,139987,573284352
595500,724071,146748,600977408
627399,753318,153183,627335168
648088,789062,159971,655142912
684182,821163,166917,683593728
702921,854689,173282,709660672
738534,883497,179915,736825344
758084,921335,186795,765009920
796833,952596,193430,792186880
816272,984050,200029,819212288
842105,1015669,206397,845299712
869447,1049132,213035,872488960
890294,1084197,219931,900739072
928002,1113569,226519,927719424
954287,1148897,233024,954363904
973503,1183292,240078,983257088
999980,1215526,246546,1009750016
1219298,1473391,299497,1226641408
1928259,2296276,467403,1914384384
2144577,2578171,524313,2147483648
