dTLB-load-misses,dTLB-store-misses,minor-faults,Testlaenge
2337,1689,357,3452928
1397,764,155,6811648
1728,1056,206,17481728
2872,2478,498,29138944
3399,2136,410,55992320
2126,965,171,82223104
2871,1419,246,109744128
2714,1117,181,136687616
4598,2378,413,164847616
2841,1105,164,191033344
3381,1853,310,218845184
5935,3643,650,247443456
4223,1429,198,272805888
6205,3808,669,301936640
5187,2848,478,328368128
6507,3269,557,355897344
5144,2272,345,382242816
6563,2155,286,409210880
7073,3641,596,437694464
6061,2356,340,463855616
6775,2159,266,490754048
5840,2619,385,518459392
7055,3150,473,546025472
7061,3204,484,573284352
8022,3837,603,600977408
7706,2896,394,627335168
9318,3734,541,655142912
10225,5193,845,683593728
9002,3823,566,709660672
9255,3816,553,736825344
11967,5069,791,765009920
10721,5009,784,792186880
10652,4848,738,819212288
9498,3513,465,845299712
9778,3540,460,872488960
11523,4883,714,900739072
12537,4733,659,927719424
11213,4017,519,954363904
13294,6055,931,983257088
10650,5051,755,1009750016
14718,5707,564,1226641408
19964,7474,863,1914384384
18965,4781,29,2147483648
